name,IDs,stakeholder_categories,Contents,date
Pedro Valdivielso,@ValdivielsoP,,"@LluisMontoliu @idemiguelb Cierto. Usan CRISPR , pero más allá del gran avance metodológico, esa proteínas inhibida ya tiene alternativas hoy en el mercado. Ac contra PCSK9 e inclisiran, ya próximo a comrrcializar.",2021-05-20T07:01:07+00:00
SOGACAR Cardiología,@SOGACAR_,Org. Advocacy,"""El futuro en el manejo de la dislipemia a corto plazo"" #RiscoCV Obradoiro @SOGACAR_ /4 Datos sobre Inclisiran (continuacion) https://t.co/ZFez3PW7FH",2021-05-19T16:39:10+00:00
SOGACAR Cardiología,@SOGACAR_,Org. Advocacy,"""El futuro en el manejo de la dislipemia a corto plazo"" #RiscoCV Obradoiro @SOGACAR_ /3 Datos sobre Inclisiran https://t.co/IeNIAAhR0R",2021-05-19T16:39:10+00:00
Alex B,@AlexB46085842,,RT @egelandd: Hell yeah! Now I’ll re-enter $espr ! $nvs got rejected w/inclisiran & Repatha $amgn & Praluent $sny + $regn haven’t delivered…,2021-05-19T16:27:09+00:00
Leonardi,@leonardi1452,,"$sny $amgn $nvs cheap Oral Statin+Nexlizet ~60% ldl reduction along with other benefits(For ex hs-CRP reduction coming via Nexletol which is part of Nexlizet), no need for expensive PCKS9, Bell tolls, Inclisiran dead on arrival, Nexletol/Nexlizet preferred on formularies.",2021-05-19T03:43:39+00:00
Dr Jean Pierre Laroche #vacciné3.0,@Echoraljpangio,Doctor,"Parfait Ileana, clair  et didactique , très important en Médecine Vasculaire les antiPCSK9; le mode injectable augmente la compliance ++++l'Inclisiran à venir sera peut être un ""vaccin anti cholestérol""  @lasfmv @SevestreMarie @MichelDadon https://t.co/Wos0bVvYzI",2021-05-18T17:47:58+00:00
Robert McFarlane,@DrRobertMac,Doctor,@ProfKausikRay Inclisiran fallen from the sky?,2021-05-18T11:49:34+00:00
André Stadelmaier,@AStadelmaier,,"RT @Cortellis: Cardiovascular disease (CVD) is the leading cause of death worldwide. Inclisiran, a small interfering RNA (siRNA) molecule,…",2021-05-18T07:21:39+00:00
Emanuel Vacchiano,@mannyvacchiano,Investor,"@BiopharmIQ $ESPR no Wall Street darling currently. At the quarterly call 2 weeks ago, Stifel's analyst Derek Archila congratulated EPSR on the ""progress"". Then he downgraded the stock the next day.
$NVS #inclisiran #bempedoic_acid",2021-05-18T06:30:45+00:00
Danny Biopharm,@egelandd,,"Remember a little bio named $ptla ? Sheldon took over in Jan 2019 & successfully led them thru $alxn acquisition last summer. $espr is massively undervalued, de-risked & NOW has the pftc leader to turn this around- just like $ptla ! I’m getting behind Sheldon 4 PTLA2.0 $xbi $ibb https://t.co/P65nMAYeRw",2021-05-18T00:35:05+00:00
Paul Langton,@WALangProf,,"@NjbBari3 @toba See also https://t.co/aj7qsXrW66
& the Novartis Press-release",2021-05-17T23:43:37+00:00
Fei Luo,@FeiLuo11,,"RT @SantasEnrique: New and emerging therapies ( bempedoic acid, ANGPTL3 inhibitors, inclisiran, etc.) for reduction of LDL-C and Apo B, @JA…",2021-05-17T22:37:59+00:00
Danny Biopharm,@egelandd,,Hell yeah! Now I’ll re-enter $espr ! $nvs got rejected w/inclisiran & Repatha $amgn & Praluent $sny + $regn haven’t delivered expected results= door is wide open for $espr to win vs PCSK9 class imo- LFG! $xbi $ibb,2021-05-17T20:45:44+00:00
Clarivate for Life Sciences & Healthcare,@ClarivateHealth,Org. Other Healthcare,"Cardiovascular disease (CVD) is the leading cause of death worldwide. Inclisiran, a small interfering RNA (siRNA) molecule, induces long-term reductions of PCSK9 & LDL-C. Check out this month's issue from Drugs of Today: https://t.co/5OglQHZ4FL #dyslipidemia #clinicaldevelopment https://t.co/83KUnQ0dIA",2021-05-17T18:02:31+00:00
"Viet Le PA-C, FACC FAHA",@VietHeartPA,"HCP,Researcher/Academic","@reed_mszar @gowthyharsha @khurramn1 @rauldsf_santos @MBittencourtMD @marciominame @KarleziAlonso @ACCmediacenter @YaleCardiology @HMethodistCV @CardioSmart Given that #CAC was being used to decide on adding PCSK9i amongst these patients with FH, how many were successfully started on PCSK9i and do you have achieved LDL-C? Separate question: Thoughts on siRNA Inclisiran instead of PCSK9i? #ACC21 #KnowFH",2021-05-16T21:26:49+00:00
Dr. Luiz Silva,@DrLuizSilva1,Doctor,"RT @Gurleen_Kaur96: 4/ New Targets for LDL-C Reduction

🫀 Bempedoic Acid - prodrug, inhibits ATP citrate lyase (biosynthesis of cholesterol…",2021-05-16T16:29:53+00:00
Scott Wright,@ScottWrightMD,"Doctor,Investigator",@DrSteveKopecky @DrMJoyner @mmillermd1 @mwcullen,2021-05-16T02:40:42+00:00
Gurleen Kaur,@Gurleen_Kaur96,,"4/ New Targets for LDL-C Reduction

 Bempedoic Acid - prodrug, inhibits ATP citrate lyase (biosynthesis of cholesterol)
 Evinacumab - antibody for angiopoetin-like protein 3 (ANGPTL3)
 Inclisiran - injectable siRNA, inhibits PCKS9 translation
 CRISPR -pre-clinical studies https://t.co/zEM50MRUJe",2021-05-16T02:39:06+00:00
Scott Wright,@ScottWrightMD,"Doctor,Investigator",A splendid idea if only the company had FDA approval of medications that can treat disease at the population level #inclisiran. Perhaps Novartis could provide info on when they plan to refile @FDA ?,2021-05-16T02:37:53+00:00
Dr.A.,@_Zenil_,,"@purviparwani @DrMarthaGulati @DrSharathS @CBallantyneMD @ACCinTouch @docbhardwaj @hvanspall @DrLaxmiMehta @DBelardoMD @nationallipid @khurramn1 Pcsk9i have much more insurance issues- who wants to cover a drug costing 7000$ a year? Moreover repatha and praluent wont be here anymore when inclisiran enters market. Still BA as oral, cheaper therapy will be a nice drug!!",2021-05-15T20:42:49+00:00
For Balance - No Mercy Day,@DesignatFuturIT,Individual Non-Health,"Novartis receives complete response letter from U.S. FDA for inclisiran ...
Dec 18, 2020 — Inclisiran (KJX839) small interfering RNA (siRNA) therapy to reduce low-density lipoprotein cholesterol (LDL-C) levels via an RNA interference (RNAi) mechanism of action and could*",2021-05-15T18:07:24+00:00
BARFLY,@BARFLY61238868,,"RT @DocCheck: In puncto #Lipidsenker gibt es Neuigkeiten, die #Kardiologen und Hausärzte auf dem Schirm haben sollten. Einige Substanzen wu…",2021-05-15T12:42:52+00:00
Rüdiger Kuhnke,@KuhnkeRuediger,,"RT @DocCheck: In puncto #Lipidsenker gibt es Neuigkeiten, die #Kardiologen und Hausärzte auf dem Schirm haben sollten. Einige Substanzen wu…",2021-05-15T11:20:14+00:00
DocCheck,@DocCheck,Org. Advocacy,"In puncto #Lipidsenker gibt es Neuigkeiten, die #Kardiologen und Hausärzte auf dem Schirm haben sollten. Einige Substanzen wurden zugelassen oder stehen kurz davor, wie Dr. Stefan Waller erklärt. #Cholesterin #Stoffwechsel https://t.co/hMBL2Gd9jF",2021-05-15T11:16:00+00:00
International Atherosclerosis Society (IAS),@atherosociety,Org. Advocacy,RT @ErinMichos: Was delighted to take part of this @atherosociety video series. Enjoyed chatting with Dr Brown and @ProfSNicholls about mod…,2021-05-14T12:18:11+00:00
Preventive Medicine Bot,@PreventiveBot,Spam,RT @ErinMichos: Was delighted to take part of this @atherosociety video series. Enjoyed chatting with Dr Brown and @ProfSNicholls about mod…,2021-05-14T12:16:19+00:00
"Erin D. Michos, M.D.",@ErinMichos,"Doctor,Researcher/Academic",Was delighted to take part of this @atherosociety video series. Enjoyed chatting with Dr Brown and @ProfSNicholls about modern & emerging therapeutics for #lipids for #cvPrev. #inclisiran #pelacarsen and more.,2021-05-14T12:12:40+00:00
tracy poulos,@tpoulos,,"Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig - https://t.co/FBaIVDUjkI",2021-05-13T19:34:49+00:00
Steve_382,@Steve_382,,"$ALNY Inclisiran. Still waiting on FDA for US approval, so minimal sales I would guess, but from IR:

Novartis launched Leqvio in parts of Europe earlier this year. We expect Q2 to be the initial quarter of booking our royalties on sales of Leqvio.",2021-05-13T18:19:15+00:00
Alex Harding,@AlexHarding7,Doctor,This is kinda cool. Oral ASO for PCSK9. ~5% oral bioavailability. New threat to inclisiran? https://t.co/C3ny7NIkQp,2021-05-13T11:55:11+00:00
Big4Bio:SFBay,@Big4BioSF,Org. Other Healthcare,".@attralus, a clinical stage biotech company, has announced its acquisition of ex- @purduepharma CEO Mark Timney. Timney will help further Attralus' pan-amyloid removal therapies for patients with systemic amyloidosis. #biotech #therapies

Learn more here: https://t.co/UUjbG4sb2S",2021-05-11T16:00:01+00:00
Trip Primary Care,@TripPrimaryCare,Org. Other Healthcare,New2Trip: Pooled Patient-Level Analysis of Inclisiran Trials in Patients w/ Familial Hypercholesterolemia or Atherosclerosis https://t.co/2VWhNyOj5R,2021-05-11T05:23:12+00:00
Kevin H Bell 🌵,@KevinHBell,,"RT @JP_Pumpkininny: These people should be considered toxic. They should be blackballed form the industry for what they've done, what they'…",2021-05-11T00:38:54+00:00
cafepharma,@cafepharma,Org. Other Healthcare,"Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig https://t.co/SYEgdzv6Xj",2021-05-11T00:28:06+00:00
Brian Merlen,@votemerlen,Politician,"RT @CEBismuth: Another beneficiary of the chummy amnesty & rewards program for corporate wrongdoers. 
https://t.co/gjpFZ1h4Nz",2021-05-10T23:03:13+00:00
LucidQuest,@LQVentures,Spam,"RT @_timos_: Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig https://t.co/VnhmgvBS3u #…",2021-05-10T23:00:17+00:00
Dr Timos Papagatsias,@_timos_,Spam,"Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig https://t.co/VnhmgvBS3u #strategy #competitiveintelligence #marketing #biotech #pharma #pharmaceutical #healthcare #productmarketing https://t.co/zGsNIZVvkt",2021-05-10T22:59:29+00:00
Ed Bisch,@ejb1893,,"RT @CEBismuth: Another beneficiary of the chummy amnesty & rewards program for corporate wrongdoers. 
https://t.co/gjpFZ1h4Nz",2021-05-10T22:51:44+00:00
HCPLive,@MDMagazine,Org. Media,"""We also don’t know with #inclisiran exactly what the payment structure is going to be."" -  Dean Karalis, MD, of @TJUHospita. 

https://t.co/gtT7a2Dd77 https://t.co/xpc1EiMVju",2021-05-10T22:30:00+00:00
SEFRA | Southeast FL Recovery Advocates,@_SEFRA_,Org. Non-Health,"🤬
Again, #profits 💰trump patient and public health safety. 
#Greed
#CorporateMalfeasance",2021-05-10T19:06:43+00:00
Salvie,@Salvie366,,Unbelievable,2021-05-10T18:21:04+00:00
Charlotte Bismuth,@CEBismuth,,"Another beneficiary of the chummy amnesty & rewards program for corporate wrongdoers. 
https://t.co/gjpFZ1h4Nz",2021-05-10T18:07:54+00:00
Shehla Shakoor,@ShehlaShakoor,Individual Other Health,"RT @Jasonmmast: Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig
Via @JSully27 

https:…",2021-05-10T17:40:28+00:00
Los Angeles Biotechnology Network,@LABioNetwork,,"LABN Feed: Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig: Facing hundreds of lawsuits over its role in fueling the US opioid epidemic, Purdue Pharma ... #losangeles #biotech https://t.co/d1wZmhePbb",2021-05-10T17:04:16+00:00
Francine Hibiscus🧶 🏳️‍🌈🩰,@FrancineHibiscs,,"RT @JP_Pumpkininny: These people should be considered toxic. They should be blackballed form the industry for what they've done, what they'…",2021-05-10T16:48:29+00:00
Prof. Ray Truant PhD,@RayTruant,,repercussions: zero,2021-05-10T16:47:25+00:00
JP the Sweetie,@JP_Pumpkininny,,"These people should be considered toxic. They should be blackballed form the industry for what they've done, what they've profited off of. Instead, they just keep being rewarded for their sociopathy. https://t.co/KRFeCQ6UjO",2021-05-10T16:34:59+00:00
Bits,@nbits60,,"RT @Jasonmmast: Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig
Via @JSully27 

https:…",2021-05-10T16:26:52+00:00
Josh Sullivan,@JSully27,,"Timney is named in lawsuits from more than 1,000 cities and states, including Mass., Colorado and Conn. He's accused of pitching an anti-abuse feature of OxyContin, despite knowing it was unlikely to work. No mention of this from Attralus. 
https://t.co/0UaYwlyx6s",2021-05-10T15:47:21+00:00
Kyle Blankenship,@ka_blankenship,Journalist/Media,"Guess the Purdue stink doesn't last long. 

Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig
https://t.co/HAmC42eugF",2021-05-10T15:46:38+00:00
John Carroll,@JohnCendpts,Journalist/Media,"RT @Jasonmmast: Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig
Via @JSully27 

https:…",2021-05-10T15:44:51+00:00
Josh Sullivan,@JSully27,,"RT @Jasonmmast: Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig
Via @JSully27 

https:…",2021-05-10T15:43:46+00:00
Jason Mast,@Jasonmmast,Journalist/Media,"Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig
Via @JSully27 

https://t.co/ES6QOVg0JL",2021-05-10T15:43:31+00:00
Endpoints News,@endpts,Org. Media,"Coming off a stint driving RNAi therapy inclisiran to a buyout, former Purdue CEO Mark Timney has found a new home at the helm of a small biotech.

https://t.co/NnXWaz91W4",2021-05-10T15:37:05+00:00
前田静吾｜Insights4 Pharma編集長,@seigomaeda,,"Ex-Purdue Pharma chief Mark Timney, named in dozens of opioid lawsuits, nabs another biotech CEO gig https://t.co/te942uay7I",2021-05-10T15:32:07+00:00
Practical Diabetes,@PracDiabetes,Org. Advocacy,"Editor's article choice of the week is drug note ""Inclisiran"".  Inclisiran is a novel intracellular PCSK9 inhibitor which reduces LDL cholesterol by up to 50% in patients with and without diabetes over a 6-month period with advantages over its predecessors https://t.co/VCnuLnbY0e",2021-05-10T11:17:20+00:00
Trip Primary Care,@TripPrimaryCare,Org. Other Healthcare,New2Trip: Pooled Patient-Level Analysis of Inclisiran Trials in Patients w/ Familial Hypercholesterolemia or Atherosclerosis https://t.co/2VWhNyOj5R,2021-05-08T19:23:08+00:00
HCPLive,@MDMagazine,Org. Media,"Dean Karalis, MD, of @TJUHospital, on #Inclisiran and its role in the lipid lowering landscape. 

""If it becomes affordable and easy to prescribe to our patients, I think it could be a game-changer."" 

https://t.co/UzCmTbcBPw https://t.co/tv6WBJuRQs",2021-05-06T23:30:00+00:00
Cardio-Targets,@CardioTargets,Org. Other Healthcare,A Critical Review of the Efficacy and Safety of Inclisiran https://t.co/fokvqPWbf7,2021-05-06T23:26:44+00:00
Gonzalo Perez,@gonzaeperez,Doctor,"RT @Cardio_delaGuia: 🆕 @acorderofort nos aporta la máxima novedad del  #eCongresoSEC20 🌟
#ProgramaORION #Inclisiran inhibe la síntesis de l…",2021-05-06T23:15:26+00:00
Angela Romero Zarante,@ANGELARZ28,Doctor,"RT @Cardio_delaGuia: 🆕 @acorderofort nos aporta la máxima novedad del  #eCongresoSEC20 🌟
#ProgramaORION #Inclisiran inhibe la síntesis de l…",2021-05-06T22:55:45+00:00
Angela Romero Zarante,@ANGELARZ28,Doctor,"RT @ValleAlfonso: Take #🏠message de @JCosinSales #ICHallenge sobre DL
📌estatina previene IC
📌si el paciente lleva estatina con IC, no se la…",2021-05-06T22:55:06+00:00
Angela Romero Zarante,@ANGELARZ28,Doctor,RT @Miriamsandin: @acorderofort en RIESGO y REHABILITACIÓN CARDIACA explica el mecanismo de acción del Inclisirán: actuando desde la genéti…,2021-05-06T22:54:46+00:00
Angela Romero Zarante,@ANGELARZ28,Doctor,RT @mi_cardiologo: Inclisiran en #IChallenge con @JCosinSales @SVCardio Ahora en : https://t.co/dofzOfsz9j https://t.co/pq0jI7tBfM,2021-05-06T22:54:44+00:00
Steve_382,@Steve_382,,"$NVS $ALNY Another study that seems to be working toward using Inclisiran in the general population.

https://t.co/qbCcIs2SLj",2021-05-05T15:04:50+00:00
Cedars-Sinai Academic Medicine,@CedarsSinaiMed,,"RT @MDMagazine: Norman Lepor, MD, FACC, FAHA, FSCAI, of @CedarsSinai discusses the Phase 3 ORION Trials for #Inclisiran.

""That was an impo…",2021-05-04T23:04:01+00:00
Joe Gambiste,@Gambiste1,Investor,"RT @XBIObserver: I wonder if $NVS sweats a little bit seeing $ESPR struggle in CV space.  After all, their purchase of $MDCO for inclisiran…",2021-05-04T22:36:27+00:00
HCPLive,@MDMagazine,Org. Media,"Norman Lepor, MD, FACC, FAHA, FSCAI, of @CedarsSinai discusses the Phase 3 ORION Trials for #Inclisiran.

""That was an important series of trials.""

https://t.co/7IjVbLYe2U https://t.co/KCHqhWT1cC",2021-05-04T22:30:00+00:00
XBI-Observer,@XBIObserver,,"I wonder if $NVS sweats a little bit seeing $ESPR struggle in CV space.  After all, their purchase of $MDCO for inclisiran for $9.7B depends on considerable market adoption.  

Meanwhile Repatha made $887M FY 2020.",2021-05-04T22:09:02+00:00
Trip Primary Care,@TripPrimaryCare,Org. Other Healthcare,New2Trip: Pooled Patient-Level Analysis of Inclisiran Trials in Patients w/ Familial Hypercholesterolemia or Atherosclerosis https://t.co/2VWhNyOj5R,2021-05-04T03:23:08+00:00
HCPLive,@MDMagazine,Org. Media,"""It's important to recognize that [inclisiran is] a small RNA molecule that’s interfering with RNA."" - Manesh Patel (@manesh_patelMD), MD, of @DukeHeartCenter. 

https://t.co/R1c6189fnv https://t.co/CSM2XjngdE",2021-05-03T23:00:02+00:00
Trip Primary Care,@TripPrimaryCare,Org. Other Healthcare,New2Trip: Pooled Patient-Level Analysis of Inclisiran Trials in Patients w/ Familial Hypercholesterolemia or Atherosclerosis https://t.co/2VWhNyOj5R,2021-05-02T00:23:08+00:00
Karla Sue,@KarlaSue8,,"RT @sopecard1947: Sesión de ATEROESCLEROSIS 

🦾LDL lo más bajo mejor, sin efectos adversos a nivel cerebral o hormonal
🔎Nuevas metas <55 mg…",2021-05-01T23:14:38+00:00
Faby G.,@Fabiolaghh,,"RT @sopecard1947: Sesión de ATEROESCLEROSIS 

🦾LDL lo más bajo mejor, sin efectos adversos a nivel cerebral o hormonal
🔎Nuevas metas <55 mg…",2021-05-01T19:05:23+00:00
SOPECARD,@sopecard1947,,"Sesión de ATEROESCLEROSIS 

🦾LDL lo más bajo mejor, sin efectos adversos a nivel cerebral o hormonal
🔎Nuevas metas <55 mg/dl ‼️
🦾Nuevas drogas: INCLISIRAN (inhibición celular de PCSK9) con dosis SC más espaciadas
🔎Ácido eicosapentanoico ⬇️eventos CV con LDL<100 y PCR<2mg/l. https://t.co/zmmfO4CGHA",2021-05-01T17:02:01+00:00
